antibiotic,Time,Res_Frac,log_fraction
rif,0,6.21E-08,-7.2069084
rif,0,5.78E-08,-7.238072162
rif,0,6.69E-08,-7.174573882
rif,0,6.25E-08,-7.204119983
rif,0,5.85E-08,-7.232844134
rif,0,0.000000053,-7.27572413
rif,0,5.04E-08,-7.297569464
rif,0,5.38E-08,-7.269217724
rif,0,7.58E-08,-7.120330794
rif,15,0.00000411,-5.386158178
rif,15,0.00000138,-5.860120914
rif,15,0.000002509,-5.600499339
rif,15,0.00000186,-5.730487056
rif,20,0.091903867,-1.036666215
rif,20,0.142380533,-0.846549386
rif,20,0.087525772,-1.05786405
rif,25,0.98128549,-0.008204623
rif,25,0.607126009,-0.216721162
rif,25,0.703862561,-0.152512135
rif,30,0.910601668,-0.040671559
rif,30,0.987496317,-0.005464515
rif,30,1.136912833,0.055727169
rif,45,0.375963606,-0.424854194
rif,45,0.270693651,-0.56752193
rif,45,0.814051363,-0.089348192
rif,60,1.484848485,0.17168214
rif,60,1.652222222,0.218068459
rif,60,0.912777778,-0.039634942
rif,75,1.148126102,0.05998959
rif,75,0.932,-0.030584088
rif,75,0.869543651,-0.060708612
kan,0,1.87E-08,-7.728158393
kan,0,2.25E-08,-7.647817482
kan,0,4.48E-08,-7.348721986
kan,0,5.79E-09,-8.237321436
kan,0,1.17E-08,-7.931814138
kan,0,1.06E-08,-7.974694135
kan,0,6.55E-08,-7.1837587
kan,0,5.38E-09,-8.269217724
kan,15,0.00000152,-5.818156412
kan,15,0.00000157,-5.804100348
kan,15,0.000000108,-6.966576245
kan,18,0.0000139,-4.8569852
kan,18,0.000002122,-5.67325462
kan,18,0.0000636,-4.196542884
kan,21,0.0005,-3.301029996
kan,21,0.00145518,-2.837083283
kan,21,0.06514658,-1.186108379
kan,25,0.29661017,-0.527813962
kan,25,0.268456376,-0.571126277
kan,25,0.201646091,-0.695410193
kan,30,0.347871658,-0.458580953
kan,30,0.464331938,-0.333171443
kan,30,0.757575758,-0.120573931
kan,45,0.246994182,-0.607313277
kan,45,0.303616612,-0.51767447
kan,45,0.292017292,-0.534591431
kan,60,0.042035012,-1.376388824
kan,60,0.08016547,-1.096012657
kan,60,0.140862266,-0.85120533
kan,75,0.161061879,-0.793007239
kan,75,0.451505217,-0.345337227
kan,75,0.560698755,-0.251270408
rif,plank,0.932098765,-0.030538067
rif,plank,1.040609137,0.017287635
rif,plank,0.974358974,-0.011281011
kan,plank,0.000113333,-3.945643615
kan,plank,6.37E-07,-6.195899431
kan,plank,1.23E-07,-6.911158977
